id,name,style,brewery_id,ounces,brewery_id,brewery_name,city,state
1,"Dale's Pale Ale","American Pale Ale (APA)",166,12,166,"Oskar Blues Brewery",Longmont," CO"
4,"Gordon Ale (2009)","American Double / Imperial IPA",166,12,166,"Oskar Blues Brewery",Longmont," CO"
5,"Old Chub","Scottish Ale",166,12,166,"Oskar Blues Brewery",Longmont," CO"
6,"GUBNA Imperial IPA","American Double / Imperial IPA",166,12,166,"Oskar Blues Brewery",Longmont," CO"
7,"Mama's Little Yella Pils","Czech Pilsener",166,12,166,"Oskar Blues Brewery",Longmont," CO"
8,"Ten Fidy Imperial Stout","Russian Imperial Stout",166,12,166,"Oskar Blues Brewery",Longmont," CO"
9,"Hell or High Watermelon Wheat","Fruit / Vegetable Beer",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
10,"Brew Free! or Die IPA","American IPA",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
11,"Monk's Blood","Belgian Dark Ale",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
12,Furious,"American IPA",61,16,61,"Surly Brewing Company","Brooklyn Center"," MN"
13,CynicAle,"Saison / Farmhouse Ale",61,16,61,"Surly Brewing Company","Brooklyn Center"," MN"
14,Hell,"Keller Bier / Zwickel Bier",61,16,61,"Surly Brewing Company","Brooklyn Center"," MN"
15,"Abrasive Ale","American Double / Imperial IPA",61,16,61,"Surly Brewing Company","Brooklyn Center"," MN"
16,Bender,"American Brown Ale",61,16,61,"Surly Brewing Company","Brooklyn Center"," MN"
17,"Coffee Bender","American Brown Ale",61,16,61,"Surly Brewing Company","Brooklyn Center"," MN"
18,SurlyFest,"Rye Beer",61,16,61,"Surly Brewing Company","Brooklyn Center"," MN"
19,"Bitter Brewer","English Bitter",61,16,61,"Surly Brewing Company","Brooklyn Center"," MN"
20,"Phoenix Pale Ale","American Pale Ale (APA)",371,12,371,"Sly Fox Brewing Company",Pottstown," PA"
21,"Pikeland Pils","German Pilsener",371,12,371,"Sly Fox Brewing Company",Pottstown," PA"
22,"Royal Weisse Ale",Hefeweizen,371,12,371,"Sly Fox Brewing Company",Pottstown," PA"
23,"Dunkel Lager","Munich Dunkel Lager",371,12,371,"Sly Fox Brewing Company",Pottstown," PA"
24,"113 IPA","American IPA",371,12,371,"Sly Fox Brewing Company",Pottstown," PA"
25,"Siamese twin",Dubbel,522,16,522,"Uncommon Brewers","Santa Cruz"," CA"
26,"Black Noddy Lager (Current)",Schwarzbier,530,16,530,"Buckbean Brewing Company",Reno," NV"
27,"Original Orange Blossom Ale (Current)","Herbed / Spiced Beer",530,16,530,"Buckbean Brewing Company",Reno," NV"
28,"Tule Duck Red Ale (Current)","American Amber / Red Ale",530,16,530,"Buckbean Brewing Company",Reno," NV"
29,"Very Noddy Lager (Current)",Schwarzbier,530,16,530,"Buckbean Brewing Company",Reno," NV"
30,"Urban Wilderness Pale Ale","English Pale Ale",557,12,557,"Sleeping Lady Brewing Company",Anchorage," AK"
31,"Big Swell IPA","American IPA",375,12,375,"Maui Brewing Company",Lahaina," HI"
32,"CoCoNut Porter","American Porter",375,12,375,"Maui Brewing Company",Lahaina," HI"
33,"Bikini Blonde Lager","Munich Helles Lager",375,12,375,"Maui Brewing Company",Lahaina," HI"
34,"Moose Drool Brown Ale (2009)","American Brown Ale",336,12,336,"Big Sky Brewing Company",Missoula," MT"
35,"Montana Trout Slayer Ale (2009)","American Pale Wheat Ale",336,12,336,"Big Sky Brewing Company",Missoula," MT"
