,name,style,ounces,brewery_name,city,state
0,Pub Beer,American Pale Lager,12.0,10 Barrel Brewing Company,Bend, OR
1,Devil's Cup,American Pale Ale (APA),12.0,18th Street Brewery,Gary, IN
2,Rise of the Phoenix,American IPA,12.0,18th Street Brewery,Gary, IN
3,Sinister,American Double / Imperial IPA,12.0,18th Street Brewery,Gary, IN
4,Sex and Candy,American IPA,12.0,18th Street Brewery,Gary, IN
5,Black Exodus,Oatmeal Stout,12.0,18th Street Brewery,Gary, IN
6,Lake Street Express,American Pale Ale (APA),12.0,18th Street Brewery,Gary, IN
7,Foreman,American Porter,12.0,18th Street Brewery,Gary, IN
8,Jade,American Pale Ale (APA),12.0,18th Street Brewery,Gary, IN
9,Cone Crusher,American Double / Imperial IPA,12.0,18th Street Brewery,Gary, IN
10,Sophomoric Saison,Saison / Farmhouse Ale,12.0,18th Street Brewery,Gary, IN
11,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,18th Street Brewery,Gary, IN
12,Garce Selé,Saison / Farmhouse Ale,12.0,18th Street Brewery,Gary, IN
13,Troll Destroyer,Belgian IPA,12.0,18th Street Brewery,Gary, IN
14,Bitter Bitch,American Pale Ale (APA),12.0,18th Street Brewery,Gary, IN
15,Ginja Ninja,Cider,12.0,2 Towns Ciderhouse,Corvallis, OR
16,Cherried Away,Cider,12.0,2 Towns Ciderhouse,Corvallis, OR
17,Rhubarbarian,Cider,12.0,2 Towns Ciderhouse,Corvallis, OR
18,BrightCider,Cider,12.0,2 Towns Ciderhouse,Corvallis, OR
19,He Said Baltic-Style Porter,Baltic Porter,12.0,21st Amendment Brewery,San Francisco, CA
20,He Said Belgian-Style Tripel,Tripel,12.0,21st Amendment Brewery,San Francisco, CA
21,Lower De Boom,American Barleywine,8.4,21st Amendment Brewery,San Francisco, CA
22,Fireside Chat,Winter Warmer,12.0,21st Amendment Brewery,San Francisco, CA
23,Marooned On Hog Island,American Stout,12.0,21st Amendment Brewery,San Francisco, CA
24,Bitter American,American Pale Ale (APA),12.0,21st Amendment Brewery,San Francisco, CA
25,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,21st Amendment Brewery,San Francisco, CA
26,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,21st Amendment Brewery,San Francisco, CA
27,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,21st Amendment Brewery,San Francisco, CA
28,21st Amendment IPA (2006),American IPA,12.0,21st Amendment Brewery,San Francisco, CA
29,Brew Free! or Die IPA (2008),American IPA,12.0,21st Amendment Brewery,San Francisco, CA
30,Brew Free! or Die IPA (2009),American IPA,12.0,21st Amendment Brewery,San Francisco, CA
31,Special Edition: Allies Win The War!,English Strong Ale,12.0,21st Amendment Brewery,San Francisco, CA
32,Hop Crisis,American Double / Imperial IPA,12.0,21st Amendment Brewery,San Francisco, CA
33,Bitter American (2011),American Pale Ale (APA),12.0,21st Amendment Brewery,San Francisco, CA
34,Fireside Chat (2010),Winter Warmer,12.0,21st Amendment Brewery,San Francisco, CA
35,Back in Black,American Black Ale,12.0,21st Amendment Brewery,San Francisco, CA
36,Monk's Blood,Belgian Dark Ale,12.0,21st Amendment Brewery,San Francisco, CA
37,Brew Free! or Die IPA,American IPA,12.0,21st Amendment Brewery,San Francisco, CA
38,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,21st Amendment Brewery,San Francisco, CA
39,Bimini Twist,American IPA,12.0,3 Daughters Brewing,St Petersburg, FL
40,Beach Blonde,American Blonde Ale,12.0,3 Daughters Brewing,St Petersburg, FL
41,Rod Bender Red,American Amber / Red Ale,12.0,3 Daughters Brewing,St Petersburg, FL
