name,style,ounces,brewery_name,city,state
Pub Beer,Others,12.0,10 Barrel Brewing Company,Bend,OR
Devil's Cup,Pale Ale,12.0,18th Street Brewery,Gary,IN
Rise of the Phoenix,India Pale Ale,12.0,18th Street Brewery,Gary,IN
Sinister,Double / Imperial IPA,12.0,18th Street Brewery,Gary,IN
Sex and Candy,India Pale Ale,12.0,18th Street Brewery,Gary,IN
Black Exodus,Oatmeal Stout,12.0,18th Street Brewery,Gary,IN
Lake Street Express,Pale Ale,12.0,18th Street Brewery,Gary,IN
Foreman,Porter,12.0,18th Street Brewery,Gary,IN
Jade,Pale Ale,12.0,18th Street Brewery,Gary,IN
Cone Crusher,Double / Imperial IPA,12.0,18th Street Brewery,Gary,IN
Sophomoric Saison,Others,12.0,18th Street Brewery,Gary,IN
Regional Ring Of Fire,Others,12.0,18th Street Brewery,Gary,IN
Garce Selé,Others,12.0,18th Street Brewery,Gary,IN
Troll Destroyer,India Pale Ale,12.0,18th Street Brewery,Gary,IN
Bitter Bitch,Pale Ale,12.0,18th Street Brewery,Gary,IN
Ginja Ninja,Others,12.0,2 Towns Ciderhouse,Corvallis,OR
Cherried Away,Others,12.0,2 Towns Ciderhouse,Corvallis,OR
Rhubarbarian,Others,12.0,2 Towns Ciderhouse,Corvallis,OR
BrightCider,Others,12.0,2 Towns Ciderhouse,Corvallis,OR
He Said Baltic-Style Porter,Porter,12.0,21st Amendment Brewery,San Francisco,CA
He Said Belgian-Style Tripel,Abbey Tripel,12.0,21st Amendment Brewery,San Francisco,CA
Lower De Boom,Others,8.4,21st Amendment Brewery,San Francisco,CA
Fireside Chat,Others,12.0,21st Amendment Brewery,San Francisco,CA
Marooned On Hog Island,Others,12.0,21st Amendment Brewery,San Francisco,CA
Bitter American,Pale Ale,12.0,21st Amendment Brewery,San Francisco,CA
Hell or High Watermelon Wheat (2009),Others,12.0,21st Amendment Brewery,San Francisco,CA
Hell or High Watermelon Wheat (2009),Others,12.0,21st Amendment Brewery,San Francisco,CA
21st Amendment Watermelon Wheat Beer (2006),Others,12.0,21st Amendment Brewery,San Francisco,CA
21st Amendment IPA (2006),India Pale Ale,12.0,21st Amendment Brewery,San Francisco,CA
Brew Free! or Die IPA (2008),India Pale Ale,12.0,21st Amendment Brewery,San Francisco,CA
Brew Free! or Die IPA (2009),India Pale Ale,12.0,21st Amendment Brewery,San Francisco,CA
Special Edition: Allies Win The War!,Strong Ale,12.0,21st Amendment Brewery,San Francisco,CA
Hop Crisis,Double / Imperial IPA,12.0,21st Amendment Brewery,San Francisco,CA
Bitter American (2011),Pale Ale,12.0,21st Amendment Brewery,San Francisco,CA
Fireside Chat (2010),Others,12.0,21st Amendment Brewery,San Francisco,CA
Back in Black,Others,12.0,21st Amendment Brewery,San Francisco,CA
Monk's Blood,Old Ale,12.0,21st Amendment Brewery,San Francisco,CA
Brew Free! or Die IPA,India Pale Ale,12.0,21st Amendment Brewery,San Francisco,CA
Hell or High Watermelon Wheat,Others,12.0,21st Amendment Brewery,San Francisco,CA
Bimini Twist,India Pale Ale,12.0,3 Daughters Brewing,St Petersburg,FL
Beach Blonde,Blonde Ale,12.0,3 Daughters Brewing,St Petersburg,FL
Rod Bender Red,Amber / Red Ale,12.0,3 Daughters Brewing,St Petersburg,FL
Passion Fruit Prussia,Others,12.0,4 Hands Brewing Company,Saint Louis,MO
Send Help,Blonde Ale,12.0,4 Hands Brewing Company,Saint Louis,MO
Cast Iron Oatmeal Brown,Brown Ale,12.0,4 Hands Brewing Company,Saint Louis,MO
Reprise Centennial Red,Amber / Red Ale,12.0,4 Hands Brewing Company,Saint Louis,MO
Alter Ego,Others,12.0,4 Hands Brewing Company,Saint Louis,MO
Divided Sky,India Pale Ale,12.0,4 Hands Brewing Company,Saint Louis,MO
Resurrected,India Pale Ale,12.0,4 Hands Brewing Company,Saint Louis,MO
Contact High,Wheat Ale,12.0,4 Hands Brewing Company,Saint Louis,MO
Galaxyfest,India Pale Ale,16.0,450 North Brewing Company,Columbus,IN
Citrafest,India Pale Ale,16.0,450 North Brewing Company,Columbus,IN
Barn Yeti,Others,16.0,450 North Brewing Company,Columbus,IN
Scarecrow,India Pale Ale,16.0,450 North Brewing Company,Columbus,IN
Ironman,Strong Ale,16.0,450 North Brewing Company,Columbus,IN
Honey Kolsch,Others,16.0,450 North Brewing Company,Columbus,IN
Copperhead Amber,Old Ale,16.0,450 North Brewing Company,Columbus,IN
Rude Parrot IPA,India Pale Ale,16.0,7 Seas Brewing Company,Gig Harbor,WA
British Pale Ale (2010),Pale Ale,16.0,7 Seas Brewing Company,Gig Harbor,WA
British Pale Ale,Pale Ale,16.0,7 Seas Brewing Company,Gig Harbor,WA
Ballz Deep Double IPA,Double / Imperial IPA,16.0,7 Seas Brewing Company,Gig Harbor,WA
Wolfman's Berliner,Others,12.0,7venth Sun,Dunedin,FL
Colorado Native,Others,12.0,AC Golden Brewing Company,Golden,CO
Colorado Native (2011),Others,12.0,AC Golden Brewing Company,Golden,CO
Jockamo IPA,India Pale Ale,12.0,Abita Brewing Company,Abita Springs,LA
Purple Haze,Others,12.0,Abita Brewing Company,Abita Springs,LA
Abita Amber,Others,12.0,Abita Brewing Company,Abita Springs,LA
Citra Ass Down,India Pale Ale,16.0,Against The Grain Brewery,Louisville,KY
The Brown Note,Brown Ale,16.0,Against The Grain Brewery,Louisville,KY
Citra Ass Down,Double / Imperial IPA,16.0,Against the Grain Brewery,Louisville,KY
London Balling,Others,16.0,Against the Grain Brewery,Louisville,KY
35 K,Sweet Stout,16.0,Against the Grain Brewery,Louisville,KY
A Beer,Pale Ale,16.0,Against the Grain Brewery,Louisville,KY
Rules are Rules,Pilsner,16.0,Against the Grain Brewery,Louisville,KY
Flesh Gourd'n,Others,16.0,Against the Grain Brewery,Louisville,KY
Sho'nuff,Pale Ale,16.0,Against the Grain Brewery,Louisville,KY
Bloody Show,Pilsner,16.0,Against the Grain Brewery,Louisville,KY
Rico Sauvin,Double / Imperial IPA,16.0,Against the Grain Brewery,Louisville,KY
Coq de la Marche,Others,16.0,Against the Grain Brewery,Louisville,KY
Kamen Knuddeln,Others,16.0,Against the Grain Brewery,Louisville,KY
Pile of Face,India Pale Ale,16.0,Against the Grain Brewery,Louisville,KY
The Brown Note,Brown Ale,16.0,Against the Grain Brewery,Louisville,KY
Maylani's Coconut Stout,Others,16.0,Airways Brewing Company,Kent,WA
Oatmeal PSA,Pale Ale,16.0,Airways Brewing Company,Kent,WA
Pre Flight Pilsner,Pilsner,16.0,Airways Brewing Company,Kent,WA
P-Town Pilsner,Pilsner,12.0,Alameda Brewing,Portland,OR
Klickitat Pale Ale,Pale Ale,12.0,Alameda Brewing,Portland,OR
Yellow Wolf Imperial IPA,Double / Imperial IPA,12.0,Alameda Brewing,Portland,OR
Freeride APA,Pale Ale,12.0,Alaskan Brewing Company,Juneau,AK
Alaskan Amber,Altbier,12.0,Alaskan Brewing Company,Juneau,AK
Hopalicious,Pale Ale,12.0,Ale Asylum,Madison,WI
Kentucky Kölsch,Others,16.0,Alltech's Lexington Brewing Company,Lexington,KY
Kentucky IPA,India Pale Ale,16.0,Alltech's Lexington Brewing Company,Lexington,KY
Dusty Trail Pale Ale,Pale Ale,16.0,Amnesia Brewing Company,Washougal,WA
Damnesia,India Pale Ale,16.0,Amnesia Brewing Company,Washougal,WA
Desolation IPA,India Pale Ale,16.0,Amnesia Brewing Company,Washougal,WA
Liberty Ale,India Pale Ale,12.0,Anchor Brewing Company,San Francisco,CA
IPA,India Pale Ale,12.0,Anchor Brewing Company,San Francisco,CA
Summer Wheat,Wheat Ale,12.0,Anchor Brewing Company,San Francisco,CA
California Lager,Others,12.0,Anchor Brewing Company,San Francisco,CA
Brotherhood Steam,Others,12.0,Anchor Brewing Company,San Francisco,CA
Blood Orange Gose,Others,12.0,Anderson Valley Brewing Company,Boonville,CA
Keebarlin' Pale Ale,Pale Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
"the Kimmie, the Yink and the Holy Gose",Others,12.0,Anderson Valley Brewing Company,Boonville,CA
Fall Hornin',Others,12.0,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice,Cream Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Hop Ottin' IPA,India Pale Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale,Amber / Red Ale,12.0,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,Anderson Valley Brewing Company,Boonville,CA
El Steinber Dark Lager,Vienna,16.0,Anderson Valley Brewing Company,Boonville,CA
